Title,Author,ISBN,Call Number,Publication Year,Subject,Material Type,Location,Barcode,Total Checkouts,Last Checkout Date,Created Date,Item Status,Price,Collection
"Stamped: Racism, Antiracism, and You",Jason Reynolds,9781018343471,305.8 R56,2020,Social Science,Book,YA,33304560537,9,2021-03-19,2021-01-15,Checked Out,23.81,YA
Ugly Love,Colleen Hoover,9780200424912,813.6 H48,2014,Fiction,Audiobook,Main,34274958945,35,2020-03-20,2015-05-16,Available,22.23,Adult Fiction
How to Win Friends and Influence People,Dale Carnegie,9781607048916,158.2 C98,1936,Self-Help,Book,Main,33149484176,1,2021-04-20,1996-12-04,Available,26.79,Adult Non-Fiction
"Beautiful World, Where Are You",Sally Rooney,9780849950216,PR6118.O553 2011,2021,Fiction,Book,Main,39095535261,103,2024-10-09,2022-12-14,Checked Out,22.83,Adult Fiction
Anxious People,Fredrik Backman,9780197721810,839.738 B97,2020,Fiction,Book,Branch,35262101582,38,2023-07-19,2020-05-26,Lost,27.38,Adult Fiction
Harry Potter and the Chamber of Secrets,J.K. Rowling,9780072278576,823.914 R36,1999,Fiction,Book,Children,32499028775,0,,2002-03-29,Available,26.91,Juvenile
Atomic Habits,James Clear,9781338034479,158.1 C89,2018,Self-Help,Book,Main,38666026175,18,2025-10-12,2019-12-08,Available,22.47,Adult Non-Fiction
Thirteen Reasons Why,Jay Asher,9780588263912,813.6 A55,2007,Fiction,Book,YA,35317358673,17,2025-12-24,2008-08-02,Lost,27.04,YA
The Invisible Life of Addie LaRue,V.E. Schwab,9781902579252,813.6 S97,2020,Fiction,Audiobook,Branch,34906542112,11,2023-07-24,2020-06-10,Available,21.35,Adult Fiction
Learning Perl,Randal L. Schwartz,9781922718310,005.133 S61,1993,Technology,Book,Branch,33694254580,3,2022-04-28,1994-07-07,Available,25.96,Adult Non-Fiction
The Pioneer Woman Cooks,Ree Drummond,9780243625574,641.5 D80,2009,Cooking,Audiobook,Branch,33596622371,8,2024-02-12,2010-07-14,Available,20.66,Adult Non-Fiction
In Cold Blood,Truman Capote,9781386196136,364.1523 C33,1966,True Crime,Audiobook,Main,39915124505,9,2023-08-17,2009-12-21,Available,25.14,Adult Non-Fiction
Being Mortal,Atul Gawande,9780341915034,R726.8.G39 1917,2014,Medicine,Book,Branch,36306523372,11,2022-12-07,2014-01-12,Checked Out,23.41,Adult Non-Fiction
Freakonomics,Steven D. Levitt,9780009562365,330 L30,2005,Economics,Book,Branch,34977727965,19,2021-06-03,2006-05-03,Available,14.91,Adult Non-Fiction
Shoe Dog,Phil Knight,9781012666361,HD9992.U54.N553 1940,2016,Business,Audiobook,Branch,31586412136,18,2025-07-07,2017-12-02,Available,28.30,Adult Non-Fiction
Where the Crawdads Sing,Delia Owens,9780380023837,PS3615.W456 1953,2018,Fiction,Book,Branch,35021451005,13,2023-08-14,2018-06-21,Available,27.57,Adult Fiction
Iron Flame,Rebecca Yarros,9780983876243,PS3625.A77 1979,2023,Fiction,Book,Branch,31080161578,36,2022-10-01,2023-07-30,Available,26.75,Adult Fiction
A Promised Land,Barack Obama,9781500240172,E908.3.O23 1960,2020,Biography,Book,Branch,36364252503,15,2025-03-02,2020-07-22,Lost,24.96,Adult Non-Fiction
Maybe You Should Talk to Someone,Lori Gottlieb,9781055619539,616.8914 G64,2019,Psychology,Book,Main,39581991473,70,2021-10-17,2020-06-09,Available,29.09,Adult Non-Fiction
Of Mice and Men,John Steinbeck,9780157759938,PS3537.T3234 1973,1937,Fiction,Large Print,Branch,32928610987,12,2020-06-23,1997-10-30,Checked Out,32.30,Adult Fiction
Harry Potter and the Prisoner of Azkaban,J.K. Rowling,9780820608907,823.914 R17,1999,Fiction,Book,Children,33128675098,8,2024-07-30,2001-05-02,Available,13.83,Juvenile
Demon Copperhead,Barbara Kingsolver,9780338573476,PS3561.I496 1907,2022,Fiction,Book,Branch,36059168627,0,,2022-07-25,Missing,22.59,Adult Fiction
The Catcher in the Rye,J.D. Salinger,9780904864861,813.54 S88,1951,Fiction,Book,Branch,36228133486,5,2024-02-13,2010-05-19,Available,21.33,Adult Fiction
The Handmaid's Tale,Margaret Atwood,9781741878943,PR9199.3.A8 1945,1985,Fiction,Book,Main,34403845222,2,2022-09-13,2010-04-28,Available,20.45,Adult Fiction
To Kill a Mockingbird,Harper Lee,9780281934300,PS3562.E353 1987,1960,Fiction,Audiobook,Main,31637045876,24,2022-12-01,2001-09-14,Available,36.39,Adult Fiction
Atomic Habits,James Clear,9781185953428,158.1 C26,2018,Self-Help,Book,Main,35796800114,0,,2018-10-15,Available,25.20,Adult Non-Fiction
Smile,Raina Telgemeier,9780140361278,741.5 T96,2010,Graphic Novels,Book,Children,33252218154,35,2020-11-19,2011-02-11,Available,18.08,Juvenile
The Invisible Life of Addie LaRue,V.E. Schwab,9781949292176,PS3619.C488 1962,2020,Fiction,Book,Main,38904911624,100,2020-04-21,2021-11-09,Available,12.59,Adult Fiction
Atomic Habits,James Clear,9780510108342,158.1 C88,2018,Self-Help,Book,Main,35919148165,14,2020-11-23,2019-01-15,Available,22.56,Adult Non-Fiction
Hillbilly Elegy,J.D. Vance,9780624332824,305.562 V20,2016,Social Science,Book,Branch,32916260187,17,2022-12-16,2017-02-08,Available,22.09,Adult Non-Fiction
Outliers,Malcolm Gladwell,9780978046965,302 G28,2008,Social Science,DVD,Branch,36218955985,7,2020-12-13,2008-11-28,Available,23.12,Adult Non-Fiction
Mexican Gothic,Silvia Moreno-Garcia,9780753180761,813.6 M60,2020,Fiction,DVD,Main,39472515108,25,2023-11-10,2020-11-17,Checked Out,9.12,Adult Fiction
Harry Potter and the Goblet of Fire,J.K. Rowling,9780394289281,823.914 R78,2000,Fiction,Book,Children,39837427517,9,2022-11-10,2000-09-05,Available,14.85,Juvenile
The Absolutely True Diary of a Part-Time Indian,Sherman Alexie,9780433376125,PS3551.L35774 1974,2007,Fiction,Audiobook,YA,31664885408,22,2023-05-18,2008-10-02,Checked Out,29.80,YA
Pet Sematary,Stephen King,9781637923948,PS3561.I483 1963,1983,Fiction,Book,Branch,35499877198,0,,1999-11-01,Available,26.45,Adult Fiction
Hillbilly Elegy,J.D. Vance,9780088223102,HN79.A127.V36 1977,2016,Social Science,Book,Main,36868336102,39,2024-03-03,2017-01-14,Available,19.42,Adult Non-Fiction
The Color Purple,Alice Walker,9781661614430,813.54 W23,1982,Fiction,Book,Main,33824077950,13,2023-08-22,2002-01-25,Available,27.04,Adult Fiction
The Color Purple,Alice Walker,9781750793510,813.54 W31,1982,Fiction,Book,Branch,34501175349,0,,2004-03-25,Checked Out,28.45,Adult Fiction
Becoming,Michelle Obama,9780482032072,973.932 O17,2018,Biography,Book,Main,34104309491,30,2024-01-30,2019-04-29,Available,18.27,Adult Non-Fiction
Lord of the Flies,William Golding,9781057642245,823.914 G75,1954,Fiction,Book,Main,39213063154,3,2020-07-29,2010-12-21,Available,18.96,Adult Fiction
Harrison's Principles of Internal Medicine,Dennis Kasper,9781180021443,616 K44,1994,Medicine,Large Print,Main,33520417815,17,2024-08-19,1994-07-25,Available,30.26,Reference
Klara and the Sun,Kazuo Ishiguro,9781827229829,823.914 I99,2021,Fiction,Book,Main,37717262223,36,2022-07-19,2022-07-07,Available,26.28,Adult Fiction
Captain Underpants,Dav Pilkey,9781492461067,813.54 P67,1997,Fiction,Audiobook,Children,33316277000,118,2022-07-01,1997-09-18,Available,36.69,Juvenile
Mexican Gothic,Silvia Moreno-Garcia,9780136035466,PS3613.O7447 1989,2020,Fiction,DVD,Branch,32881894932,16,2025-06-01,2020-05-13,Checked Out,23.72,Adult Fiction
Daring Greatly,Brene Brown,9780027270310,158.2 B60,2012,Self-Help,Audiobook,Branch,33691344010,15,2020-07-22,2012-06-21,Available,28.01,Adult Non-Fiction
The Glass Castle,Jeannette Walls,9780089160161,362.292 W33,2005,Biography,Book,Main,32766300020,15,2022-03-01,2005-09-15,Checked Out,11.64,Adult Non-Fiction
The Tipping Point,Malcolm Gladwell,9781230381701,302 G47,2000,Social Science,Book,Main,34022245086,25,2025-02-26,2000-01-20,Available,28.49,Adult Non-Fiction
Outliers: The Story of Success,Malcolm Gladwell,9781223340791,HM1033.G53 1974,2008,Social Science,Large Print,Main,32219828872,20,2020-09-29,2008-01-09,Available,31.54,Adult Non-Fiction
Divergent,Veronica Roth,9781266344862,813.6 R70,2011,Fiction,Book,YA,36638957137,0,,2011-05-30,Checked Out,11.30,YA
Dog Man: Brawl of the Wild,Dav Pilkey,9781424359608,741.5 P34,2018,Fiction,Book,Children,37306707298,40,2025-12-15,2018-03-12,Available,13.94,Juvenile
Windows 98 for Dummies,Andy Rathbone,9781472808264,005.4469 R74,1998,Technology,Book,Branch,33856132881,5,2024-08-20,2000-05-28,Available,28.43,Adult Non-Fiction
It,Stephen King,9780965401357,813.54 K13,1986,Fiction,DVD,Main,39963334018,55,2022-03-25,1995-08-06,Available,20.45,Adult Fiction
Iron Flame,Rebecca Yarros,9780146730993,PS3625.A77 1956,2023,Fiction,Book,Main,33373077218,4,2024-01-05,2023-02-10,Checked Out,14.98,Adult Fiction
C++ Primer,Stanley B. Lippman,9780009736711,005.133 L76,1995,Technology,Audiobook,Branch,38900070153,20,2025-05-27,1995-08-10,Available,21.27,Adult Non-Fiction
Iron Flame,Rebecca Yarros,9780174044703,813.6 Y11,2023,Fiction,Book,Branch,32270410210,89,2020-04-09,2024-04-15,Available,29.54,Adult Fiction
Ugly Love,Colleen Hoover,9781223064932,PS3608.O623 1940,2014,Fiction,Book,Main,39912067529,7,2020-05-06,2015-05-10,Lost,19.19,Adult Fiction
Normal People,Sally Rooney,9781175586100,823.92 R38,2018,Fiction,Audiobook,Main,35683893864,2,2021-11-10,2019-09-21,Checked Out,35.13,Adult Fiction
The Pragmatic Programmer,David Thomas,9781411342279,005.1 T81,2019,Technology,Book,Branch,37584730597,9,2023-02-16,2019-09-10,Available,21.59,Adult Non-Fiction
Between the World and Me,Ta-Nehisi Coates,9780018609426,305.896 C29,2015,Social Science,Book,Branch,37553423031,15,2022-04-12,2015-08-18,Available,14.61,Adult Non-Fiction
The Invisible Life of Addie LaRue,V.E. Schwab,9780964689602,813.6 S32,2020,Fiction,Book,Main,32541015125,33,2020-06-24,2020-08-27,Available,23.69,Adult Fiction
Atomic Habits,James Clear,9781108138406,158.1 C63,2018,Self-Help,Book,Main,33645901955,43,2023-08-31,2018-06-09,Missing,18.41,Adult Non-Fiction
Mockingjay,Suzanne Collins,9781351288378,813.6 C94,2010,Fiction,Book,YA,33691907159,25,2023-05-14,2011-12-03,Available,27.03,YA
"Guns, Germs, and Steel",Jared Diamond,9780055024145,303.4 D68,1997,Social Science,Book,Main,39303765140,6,2022-02-21,2000-08-17,Available,16.43,Adult Non-Fiction
Hidden Figures,Margot Lee Shetterly,9781931171526,QA28.S54 1990,2016,Science,Book,Branch,38562471167,19,2025-12-26,2017-03-03,Available,16.42,Adult Non-Fiction
Brave New World,Aldous Huxley,9780393752915,823.912 H76,1932,Fiction,Book,Branch,32352505293,6,2021-09-25,2007-10-19,Available,12.78,Adult Fiction
Mexican Gothic,Silvia Moreno-Garcia,9781446183670,813.6 M51,2020,Fiction,Book,Main,39633533290,7,2022-09-11,2021-07-22,Available,24.11,Adult Fiction
Slaughterhouse-Five,Kurt Vonnegut,9780892920419,PS3572.O5 1947,1969,Fiction,Audiobook,Main,36334083514,30,2023-12-03,2008-02-29,Checked Out,26.87,Adult Fiction
Quiet,Susan Cain,9780797218413,155.232 C38,2012,Psychology,Book,Main,33261016130,9,2020-12-23,2013-04-01,Available,29.53,Adult Non-Fiction
Ugly Love,Colleen Hoover,9780883550489,813.6 H75,2014,Fiction,Book,Main,32545071541,85,2024-06-06,2014-12-28,Checked Out,18.69,Adult Fiction
The Bad Guys,Aaron Blabey,9781845394356,823.92 B20,2015,Fiction,Book,Children,31182758417,38,2023-02-22,2015-03-18,Available,28.08,Juvenile
The Bluest Eye,Toni Morrison,9780504326349,813.54 M98,1970,Fiction,Book,Branch,31458072318,8,2020-03-30,2001-08-15,Lost,29.57,Adult Fiction
The Power of Habit,Charles Duhigg,9781071325728,158.1 D58,2012,Self-Help,Audiobook,Main,31622518030,15,2022-03-06,2013-04-13,Available,32.63,Adult Non-Fiction
Fahrenheit 451,Ray Bradbury,9781029914356,PS3503.R167 1988,1953,Science Fiction,Audiobook,Branch,33310715848,35,2021-08-01,2008-12-21,Available,33.89,Adult Fiction
It,Stephen King,9781057039151,813.54 K96,1986,Fiction,Book,Main,37570511906,10,2021-02-04,2008-03-18,Available,19.07,Adult Fiction
Dune,Frank Herbert,9781158967445,813.54 H18,1965,Science Fiction,Book,Main,39553862785,7,2021-01-06,2009-07-06,Available,17.93,Adult Fiction
Algorithms to Live By,Brian Christian,9780904819250,QA9.58.C47 2024,2016,Technology,CD,Branch,37395219544,12,2023-03-24,2016-10-07,Checked Out,11.09,Adult Non-Fiction
The Girl on the Train,Paula Hawkins,9781917255288,823.92 H46,2015,Fiction,Book,Main,39343730920,33,2023-08-13,2016-03-18,Available,22.46,Adult Fiction
The Women,Kristin Hannah,9780381755775,813.54 H76,2024,Fiction,DVD,Branch,38849572476,20,2025-10-18,2025-12-07,Checked Out,23.45,Adult Fiction
Hidden Figures,Margot Lee Shetterly,9780156361880,510.92 S23,2016,Science,Book,Main,36990669614,4,2020-09-22,2016-06-21,Checked Out,17.90,Adult Non-Fiction
Rich Dad Poor Dad,Robert T. Kiyosaki,9780037381570,332.024 K63,1997,Finance,Book,Branch,38579407622,1,2024-11-21,1999-09-12,Available,27.49,Adult Non-Fiction
The Paris Apartment,Lucy Foley,9780547126043,PR6106.O546 1919,2022,Fiction,Book,Branch,34934323885,0,,2022-01-18,Available,20.10,Adult Fiction
Along Came a Spider,James Patterson,9780112369608,813.54 P49,1993,Fiction,Book,Main,34289233844,0,,1996-01-31,Available,14.13,Adult Fiction
C++ Primer,Stanley B. Lippman,9781374637047,QA76.73.C153 1936,1995,Technology,Book,Branch,35756663747,0,,1997-01-19,Available,25.50,Adult Non-Fiction
The Power of Habit,Charles Duhigg,9780738227160,158.1 D65,2012,Self-Help,Audiobook,Branch,36213781637,9,2020-01-01,2013-02-10,Available,34.52,Adult Non-Fiction
Untamed,Glennon Doyle,9781647727345,BF637.S4.D69 1962,2020,Self-Help,Book,Branch,38472624728,1,2025-04-19,2021-10-17,Available,13.35,Adult Non-Fiction
The Midnight Library,Matt Haig,9780218085334,823.92 H11,2020,Fiction,CD,Branch,37380780055,18,2024-05-18,2020-01-03,Available,12.38,Adult Fiction
A Court of Thorns and Roses,Sarah J. Maas,9781016309240,813.6 M66,2015,Fiction,Book,Branch,39045090355,8,2023-11-17,2016-05-08,Checked Out,23.60,Adult Fiction
The Martian,Andy Weir,9780926012813,813.6 W20,2014,Science Fiction,Book,Main,35570828113,36,2024-05-14,2015-03-07,Available,28.18,Adult Fiction
The Absolutely True Diary of a Part-Time Indian,Sherman Alexie,9781764128971,PS3551.L35774 1957,2007,Fiction,Book,YA,38074822909,0,,2007-11-28,Available,29.50,YA
The Bad Guys,Aaron Blabey,9780696656606,PZ7.B5268 1960,2015,Fiction,Book,Children,34231461054,0,,2016-09-09,Available,21.24,Juvenile
The Immortal Life of Henrietta Lacks,Rebecca Skloot,9780699732628,616.027 S64,2010,Science,CD,Branch,38433124121,7,2020-01-17,2010-01-19,Available,15.63,Adult Non-Fiction
"Thinking, Fast and Slow",Daniel Kahneman,9781905368846,153.42 K87,2011,Psychology,DVD,Branch,38194509551,2,2020-03-06,2011-04-25,Available,20.13,Adult Non-Fiction
The Thursday Murder Club,Richard Osman,9781990025815,823.92 O95,2020,Fiction,Book,Main,37462972995,37,2025-01-17,2021-05-01,Available,15.91,Adult Fiction
Dog Man,Dav Pilkey,9781881914044,741.5 P68,2016,Fiction,Book,Children,34106464319,2,2024-10-01,2016-02-16,Available,17.54,Juvenile
In Cold Blood,Truman Capote,9780381136147,364.1523 C29,1966,True Crime,Large Print,Main,32878427679,16,2023-05-15,2010-05-07,Lost,41.50,Adult Non-Fiction
Project Hail Mary,Andy Weir,9780960157174,813.6 W73,2021,Science Fiction,Large Print,Branch,32052811909,0,,2021-08-27,Available,34.90,Adult Fiction
The Giver,Lois Lowry,9781134428083,PS3562.O923 1969,1993,Fiction,Book,Children,34714465905,12,2023-03-24,1996-11-26,Available,24.16,Juvenile
Rich Dad Poor Dad,Robert T. Kiyosaki,9780595991426,332.024 K61,1997,Finance,CD,Main,35819769602,5,2020-08-04,1997-07-23,Available,17.46,Adult Non-Fiction
Captain Underpants,Dav Pilkey,9780385685894,813.54 P35,1997,Fiction,Book,Children,33931997465,4,2024-10-21,1997-03-25,Available,16.29,Juvenile
Algorithms to Live By,Brian Christian,9781800752573,QA9.58.C47 1991,2016,Technology,DVD,Branch,31805492785,9,2023-10-16,2016-07-14,Checked Out,10.71,Adult Non-Fiction
Windows 98 for Dummies,Andy Rathbone,9781989641903,QA76.76.O63 1947,1998,Technology,DVD,Main,37481631841,52,2025-10-28,2000-08-28,Available,16.30,Adult Non-Fiction
Windows 98 for Dummies,Andy Rathbone,9781472367358,005.4469 R22,1998,Technology,Book,Branch,38773959039,4,2022-03-25,2001-05-25,Checked Out,21.95,Adult Non-Fiction
Beloved,Toni Morrison,9780037540472,813.54 M66,1987,Fiction,Book,Main,38144889126,7,2023-01-20,2007-02-15,Available,21.41,Adult Fiction
Charlotte's Web,E.B. White,9780785728375,PZ7.W5828 2020,1952,Fiction,Book,Children,35113699666,0,,2003-06-07,Available,23.46,Juvenile
Using the Internet,Jerry Honeycutt,9781213095168,004.678 H75,1997,Technology,Book,Branch,37581349462,3,2021-03-24,1998-11-10,Available,29.61,Adult Non-Fiction
"Thinking, Fast and Slow",Daniel Kahneman,9781174960598,153.42 K23,2011,Psychology,DVD,Branch,33760786161,10,2021-07-06,2011-07-06,Available,10.00,Adult Non-Fiction
The Seven Husbands of Evelyn Hugo,Taylor Jenkins Reid,9781816884121,813.6 R95,2017,Fiction,Book,Main,39160639027,28,2021-06-05,2018-07-22,Available,14.63,Adult Fiction
1984,George Orwell,9780307818287,823.912 O72,1949,Fiction,Audiobook,Main,35683143581,8,2020-07-07,1995-08-26,Available,26.48,Adult Fiction
The Giving Tree,Shel Silverstein,9781671879614,813.54 S98,1964,Fiction,Audiobook,Children,33470738735,12,2021-07-08,2005-05-04,Available,27.14,Juvenile
Where the Crawdads Sing,Delia Owens,9780569581530,813.6 O40,2018,Fiction,DVD,Main,33614915281,46,2025-07-26,2018-06-17,Available,24.24,Adult Fiction
When Breath Becomes Air,Paul Kalanithi,9781386797456,616.994 K92,2016,Medicine,Book,Main,31829621429,13,2024-06-29,2016-03-29,Available,23.71,Adult Non-Fiction
In Cold Blood,Truman Capote,9780953276066,364.1523 C85,1966,True Crime,CD,Main,36195400294,2,2025-08-07,2004-03-05,Checked Out,11.24,Adult Non-Fiction
Outliers,Malcolm Gladwell,9780689924798,HM1033.G53 1918,2008,Social Science,Book,Branch,35125568431,13,2021-07-12,2008-11-26,Available,29.53,Adult Non-Fiction
Brave New World,Aldous Huxley,9780596101213,823.912 H55,1932,Fiction,Book,Main,33846570058,13,2022-09-24,2002-06-25,Available,29.78,Adult Fiction
Unbroken,Laura Hillenbrand,9781435548138,D805.J3.Z36 1913,2010,History,Book,Main,38998080862,14,2021-07-11,2011-09-01,Checked Out,16.70,Adult Non-Fiction
Windows 98 for Dummies,Andy Rathbone,9781804702451,QA76.76.O63 1976,1998,Technology,Book,Branch,32829729510,0,,2000-08-07,Available,23.84,Adult Non-Fiction
The Hate U Give,Angie Thomas,9780681355422,PS3620.H645 2017,2017,Fiction,DVD,YA,36894808149,4,2024-06-03,2018-10-15,Available,10.19,YA
Wings of Fire: The Dragonet Prophecy,Tui T. Sutherland,9781864236408,813.6 S89,2012,Fiction,Book,Children,31067567428,117,2023-03-20,2013-07-02,Checked Out,11.32,Juvenile
A Court of Mist and Fury,Sarah J. Maas,9781801300964,PS3613.A118 1925,2016,Fiction,Book,Main,37250964836,38,2024-06-24,2017-05-21,Available,15.63,Adult Fiction
The Nightingale,Kristin Hannah,9781807914677,PS3558.A4763 1906,2015,Fiction,Book,Branch,36636889684,109,2025-04-02,2015-04-06,Available,12.84,Adult Fiction
Where the Crawdads Sing,Delia Owens,9781183835535,813.6 O23,2018,Fiction,Book,Main,36083042422,6,2021-02-05,2019-07-18,Checked Out,11.95,Adult Fiction
The PDR Family Guide to Prescription Drugs,PDR Staff,9781172013852,RM301.12.P47 2016,1995,Medicine,Book,Main,36184921425,1,2021-10-02,1996-02-13,Available,22.50,Reference
Killers of the Flower Moon,David Grann,9781097045891,976.6004 G42,2017,History,Book,Branch,38265834251,12,2020-12-14,2018-09-01,Checked Out,13.07,Adult Non-Fiction
Rich Dad Poor Dad,Robert T. Kiyosaki,9780219463629,HG179.K564 1914,1997,Finance,Book,Branch,33511253899,10,2025-04-30,2000-11-15,Available,24.07,Adult Non-Fiction
The Maid,Nita Prose,9780557342877,813.6 P10,2022,Fiction,Audiobook,Branch,37519578899,0,,2022-05-05,Available,29.12,Adult Fiction
The Midnight Library,Matt Haig,9781334542343,823.92 H80,2020,Fiction,CD,Branch,32713336599,0,,2021-02-01,Available,17.01,Adult Fiction
Beach Read,Emily Henry,9780941689625,PS3608.E573 1988,2020,Fiction,Book,Main,31530618370,0,,2021-01-06,Available,12.61,Adult Fiction
Diary of a Wimpy Kid,Jeff Kinney,9781076896193,813.6 K13,2007,Fiction,DVD,Children,37568861677,11,2022-09-14,2008-11-03,Available,13.25,Juvenile
Matilda,Roald Dahl,9781503219915,823.914 D96,1988,Fiction,Audiobook,Children,34177181331,7,2021-02-04,1996-03-15,Missing,28.73,Juvenile
Drama,Raina Telgemeier,9781522725466,741.5 T62,2012,Graphic Novels,Book,Children,34133661881,22,2025-04-26,2012-06-05,Available,12.27,Juvenile
A Gentleman in Moscow,Amor Towles,9781131862552,PS3620.O945 1975,2016,Fiction,CD,Main,32272368870,82,2020-08-11,2016-02-16,Available,14.97,Adult Fiction
The Lord of the Rings,J.R.R. Tolkien,9781888877045,PR6039.O32 1915,1954,Fiction,Book,Main,33488270884,1,2025-04-14,1995-06-06,Available,28.23,Adult Fiction
Mayo Clinic Family Health Book,Mayo Clinic,9780229565481,RC81.M39 1973,2003,Medicine,Book,Branch,34949801453,4,2020-06-02,2003-10-24,Available,11.17,Adult Non-Fiction
The Body Keeps the Score,Bessel van der Kolk,9781169117808,616.8521 K28,2014,Medicine,Large Print,Main,35658832688,11,2025-11-26,2015-12-03,Available,25.05,Adult Non-Fiction
Fahrenheit 451,Ray Bradbury,9780768682847,813.54 B36,1953,Science Fiction,Book,Branch,36295689007,22,2022-10-23,2007-02-12,Lost,26.16,Adult Fiction
Catching Fire,Suzanne Collins,9780628452740,813.6 C34,2009,Fiction,Audiobook,YA,36725038117,2,2025-05-15,2009-05-01,Available,38.28,YA
Atomic Habits,James Clear,9781379571513,158.1 C83,2018,Self-Help,Book,Main,32739600515,6,2024-01-22,2019-12-08,Available,12.66,Adult Non-Fiction
When Breath Becomes Air,Paul Kalanithi,9780052408511,616.994 K56,2016,Medicine,Book,Branch,32391874847,17,2021-12-13,2016-09-26,Available,18.15,Adult Non-Fiction
A Man Called Ove,Fredrik Backman,9780557331512,839.738 B97,2012,Fiction,Book,Main,33338877621,19,2023-06-13,2012-06-18,Available,22.30,Adult Fiction
The Hate U Give,Angie Thomas,9781596924222,813.6 T71,2017,Fiction,Book,YA,34734910807,17,2020-06-27,2018-02-25,Available,17.04,YA
The Kite Runner,Khaled Hosseini,9780016177538,813.54 H26,2003,Fiction,Book,Branch,36516195409,7,2021-04-12,2004-05-04,Available,26.61,Adult Fiction
The Complete Guide to Natural Health,Andrew Weil,9781840687132,615.5 W23,1995,Medicine,Large Print,Main,37546898241,5,2021-04-06,1996-01-30,Available,30.27,Adult Non-Fiction
The Midnight Library,Matt Haig,9781294374220,823.92 H14,2020,Fiction,Large Print,Main,36361249549,22,2021-05-04,2021-01-16,Available,34.03,Adult Fiction
The Immortal Life of Henrietta Lacks,Rebecca Skloot,9780083022205,616.027 S27,2010,Science,Book,Main,37161887665,16,2025-07-23,2010-09-10,Available,22.27,Adult Non-Fiction
Iron Flame,Rebecca Yarros,9780211062424,813.6 Y54,2023,Fiction,Book,Branch,38880184233,13,2025-03-04,2023-02-25,Available,23.24,Adult Fiction
Homo Deus,Yuval Noah Harari,9780168134816,909.83 H46,2017,History,Book,Main,36760652905,0,,2018-01-01,Available,18.82,Adult Non-Fiction
The Nightingale,Kristin Hannah,9781464485565,813.54 H62,2015,Fiction,Book,Main,37060638140,5,2020-09-05,2015-04-11,Lost,18.64,Adult Fiction
Ender's Game,Orson Scott Card,9780927017374,813.54 C91,1985,Science Fiction,CD,Main,38675071314,27,2023-04-21,2010-06-11,Available,11.14,Adult Fiction
Born a Crime,Trevor Noah,9781889947846,PN1992.4.N63 1947,2016,Biography,Large Print,Main,32437308013,18,2021-09-07,2017-11-03,Available,30.32,Adult Non-Fiction
Bridge to Terabithia,Katherine Paterson,9780194347433,813.54 P63,1977,Fiction,Book,Children,35035765954,12,2023-11-09,2007-01-05,Checked Out,27.67,Juvenile
Bad Blood,John Carreyrou,9781548297824,R857.B54.C37 1914,2018,Business,Book,Branch,36942989052,18,2021-11-14,2018-06-27,Available,20.29,Adult Non-Fiction
The Great Alone,Kristin Hannah,9780433190936,PS3558.A4763 1990,2018,Fiction,Book,Main,33208283728,33,2025-04-20,2019-08-08,Available,15.61,Adult Fiction
It Ends with Us,Colleen Hoover,9781618090263,PS3608.O623 2015,2016,Fiction,Book,Main,38987764913,14,2020-07-27,2017-02-05,Checked Out,17.33,Adult Fiction
The Midnight Library,Matt Haig,9780901860866,823.92 H41,2020,Fiction,Book,Branch,39027036016,0,,2021-07-05,Available,17.19,Adult Fiction
Charlotte's Web,E.B. White,9781149551288,813.52 W94,1952,Fiction,Book,Children,31952396600,6,2020-07-06,1997-05-20,Available,28.03,Juvenile
Beach Read,Emily Henry,9780501500513,813.6 H41,2020,Fiction,Book,Branch,38982597239,31,2022-07-02,2020-08-21,Checked Out,11.44,Adult Fiction
Killers of the Flower Moon,David Grann,9781882466702,976.6004 G32,2017,History,CD,Branch,38458323087,9,2021-11-17,2017-05-29,Available,15.76,Adult Non-Fiction
It,Stephen King,9781066472215,813.54 K52,1986,Fiction,Audiobook,Main,38406374110,26,2022-02-05,1999-10-25,Available,25.49,Adult Fiction
The Devil in the White City,Erik Larson,9781418403836,364.1523 L98,2003,True Crime,Book,Main,38013262671,2,2024-02-04,2004-02-07,Available,13.15,Adult Non-Fiction
All Boys Aren't Blue,George M. Johnson,9780199520664,306.76 J72,2020,Sociology,Book,YA,31095051435,10,2022-08-11,2020-01-09,Available,12.70,YA
Ender's Game,Orson Scott Card,9781638387244,813.54 C71,1985,Science Fiction,Book,Branch,31467432617,2,2022-03-15,1998-02-20,Checked Out,15.99,Adult Fiction
Drama,Raina Telgemeier,9781377770635,PN6727.T38 1933,2012,Graphic Novels,Book,Children,35932075590,12,2023-03-14,2013-07-02,Available,14.45,Juvenile
All the Light We Cannot See,Anthony Doerr,9781290555319,813.54 D72,2014,Fiction,Book,Main,33971203213,39,2024-10-08,2014-12-19,Available,29.93,Adult Fiction
The Midnight Library,Matt Haig,9781177896887,823.92 H30,2020,Fiction,Book,Main,31124331395,14,2020-07-26,2021-04-12,Available,28.43,Adult Fiction
Mayo Clinic Family Health Book,Mayo Clinic,9781627047098,RC81.M39 1928,2003,Medicine,DVD,Main,39729790084,4,2025-02-27,2004-06-14,Available,14.04,Adult Non-Fiction
